id;jahr;vorname;name;partei
1810316;2018;Michael;Koller;1303
1810317;2018;Johann;Krichenbauer;1303
1810318;2018;Matthias;Vilsmayer;1303
1810319;2018;Albert;Gürtner;1303
1810320;2018;Ute;Schiller-Schulze;1303
1810321;2018;Gisela;Hölscher;1303
1810322;2018;Markus;Erhorn;1303
1810323;2018;Markus;Saller;1303
1810324;2018;Petra;Flauger;1303
1810325;2018;Lilian;Edenhofer;1303
1810326;2018;Felix;Stahl;1303
1810327;2018;Dr. Jörg;Breyer;1303
1810328;2018;Linus;Springer;1303
1810329;2018;Martin;Blasi;1303
1810330;2018;Karl-Heinz;Wittmann;1303
1810331;2018;Josef;Blank;1303
1810332;2018;Maria;Scharlach;1303
1810333;2018;Harald;Müller;1303
1810334;2018;Andreas;Obermüller;1303
1810335;2018;Renate;Wengenmaier;1303
1810336;2018;Benedikt;Hoigt;1303
1810337;2018;Maria;Kaltner;1303
1810338;2018;Fritz;Grübl;1303
1810339;2018;Barbara;Stein;1303
1810340;2018;Dr. Thorsten;Schüler;1303
1810341;2018;Bernd;Heilmeier;1303
1810342;2018;Gökhan;Deger;1303
1810401;2018;Katharina;Schulze;1304
1810402;2018;Ludwig;Hartmann;1304
1810403;2018;Gisela;Sengl;1304
1810404;2018;Gülseren;Demirel;1304
1810405;2018;Dr. Martin;Runge;1304
1810406;2018;Christian;Hierneis;1304
1810407;2018;Hep;Monatzeder;1304
1810408;2018;Dr. Markus;Büchler;1304
1810409;2018;Claudia;Köhler;1304
1810410;2018;Andreas;Krahl;1304
1810411;2018;Gabriele;Triebel;1304
1810412;2018;Johannes;Becher;1304
1810413;2018;Anne;Franke;1304
1810414;2018;Florian;Siekmann;1304
1810415;2018;Susanne;Kurz;1304
1810416;2018;Hans;Urban;1304
1810417;2018;Benjamin;Adjei;1304
1810418;2018;Leonhard;Hinterholzer;1304
1810419;2018;Thomas;Sarnowski von;1304
1810420;2018;Dr. Bernhard;Zimmer;1304
1810421;2018;Andreas;Baier;1304
1810422;2018;Martin;Knobel;1304
1810423;2018;Ursula;Frank-Mayer;1304
1810424;2018;Thomas;Kreß;1304
1810425;2018;Thomas;Tomaschek;1304
1810426;2018;Dr. Thorsten;Kellermann;1304
1810427;2018;Stephanie;Kürten;1304
1810428;2018;Dr. Sepp;Dürr;1304
1810429;2018;Klaus;Bittlmayer;1304
1810430;2018;Judith;Bogner;1304
1810431;2018;Wilhelm;Reim;1304
1810432;2018;Karola;Schwarz;1304
1810433;2018;Susanne;Günther;1304
1810434;2018;Marese;Hoffmann;1304
1810435;2018;Marina;Müller;1304
1810436;2018;Waltraud;Gruber;1304
1810437;2018;Dr. Rupert;Ebner;1304
1810438;2018;Albert;Aschauer;1304
1810439;2018;Sabine;Nallinger;1304
1810440;2018;Andrea;Rosner;1304
1810441;2018;Gerhard;Waas;1304
1810442;2018;Helga;Stieglmeier;1304
1810443;2018;Anna;Hanusch;1304
1810444;2018;Barbara;Schwendner;1304
1810445;2018;Angelika;Pilz-Strasser;1304
1810446;2018;Walburga;Mörtl-Körner;1304
1810447;2018;Anna Sophia;Körner;1304
1810448;2018;Jutta;Koller;1304
1810449;2018;Dr. Florian;Roth;1304
1810450;2018;Johanna;Sührig;1304
1810451;2018;Katrin;Habenschaden;1304
1810452;2018;Bernd;Pfitzner;1304
1810453;2018;Stefanie;König;1304
1810454;2018;Luise;Krispenz;1304
1810455;2018;Alexander;Müllejans;1304
1810456;2018;Marie;Freitag;1304
1810457;2018;Anna;Schmidhuber;1304
1810458;2018;Barbara;Prügl;1304
1810459;2018;Johannes;Küster;1304
1810460;2018;Alexander;Miklósy;1304
1810461;2018;Carmen;Dullinger-Oßwald;1304
1810501;2018;Martin;Hagen;1305
1810502;2018;Helmut;Markwort;1305
1810503;2018;Dr. Wolfgang;Heubisch;1305
1810504;2018;Albert;Duin;1305
1810505;2018;Julika;Sandt;1305
1810506;2018;Britta;Hundesrügge;1305
1810507;2018;Gabriele;Neff;1305
1810508;2018;Thomas;Jännert;1305
1810509;2018;Andreas;Keck;1305
1810510;2018;Anke;Pöhlmann;1305
1810511;2018;Ulla;Schäfer;1305
1810512;2018;Ursula;Lex;1305
1810513;2018;Dr. Walter;Buggisch;1305
1810514;2018;Sabrina;Böcking;1305
1810515;2018;Martin;Zeil;1305
1810516;2018;Jakob;Schäuble;1305
1810517;2018;Klement;Bezdeka;1305
1810518;2018;Michael;Linnerer;1305
1810519;2018;Dr. Frank;Sommerfeld;1305
1810520;2018;Josef;Schäch;1305
1810521;2018;Ulrich;Bode;1305
1810522;2018;Manfred;Krönauer;1305
1810523;2018;Alexander;Müller;1305
1810524;2018;Fritz;Haugg;1305
1810525;2018;Dr. Jens;Barschdorf;1305
1810526;2018;Thomas;Schön;1305
1810527;2018;Christian;Korn;1305
1810528;2018;Dr. Rudolf;Saller;1305
1810529;2018;Wilhelm;Gschossmann;1305
1810530;2018;Michael;Gumppenberg Freiherr;1305
1810531;2018;Peter;Corticelli;1305
1810532;2018;Wilhelm;Boneberger;1305
1810533;2018;Dr. Martin;Alberti;1305
1810534;2018;Heinz;Hilgendorf;1305
1810535;2018;Anna;Ahlfeld;1305
