jahr;stimmen;stimmkreis;kandidat;partei
2018;7771;706;1871104;1311
2018;7754;708;1871105;1311
2018;9093;703;1871106;1311
2018;8282;702;1871107;1311
2018;10176;704;1871108;1311
2018;9055;713;1871109;1311
2018;7428;709;1871110;1311
2018;9347;705;1871111;1311
2018;6694;710;1871112;1311
2018;6560;711;1871113;1311
2018;61;707;1871201;1312
2018;269;702;1871301;1313
2018;287;701;1871302;1313
2018;254;710;1871303;1313
2018;907;701;1871502;1315
2018;638;705;1871505;1315
2018;475;704;1871801;1318
2018;441;701;1871802;1318
2018;518;702;1871803;1318
2018;470;711;1871804;1318
2018;342;713;1871805;1318
2018;310;706;1871807;1318
2018;406;705;1871808;1318
2018;420;703;1871809;1318
2018;310;709;1871810;1318
2018;318;707;1871811;1318
2018;312;712;1871813;1318
2018;363;710;1871814;1318
2018;255;708;1871815;1318
2018;23081;602;1860102;1301
2018;30212;608;1860103;1301
2018;39420;604;1860104;1301
2018;34992;603;1860105;1301
2018;35045;609;1860106;1301
2018;25766;601;1860107;1301
2018;28361;606;1860108;1301
2018;21510;610;1860109;1301
2018;24454;605;1860110;1301
2018;25832;607;1860111;1301
2018;11025;609;1860201;1302
2018;9099;602;1860202;1302
2018;8668;610;1860203;1302
2018;8396;608;1860204;1302
2018;9274;606;1860205;1302
2018;6323;604;1860206;1302
2018;6013;601;1860207;1302
2018;6761;607;1860208;1302
2018;5101;605;1860209;1302
2018;5583;603;1860210;1302
2018;9029;604;1860301;1303
2018;10358;606;1860302;1303
2018;7491;608;1860303;1303
2018;9913;605;1860304;1303
2018;3818;610;1860305;1303
